baker,last_name,series,baker_age,baker_occupation,hometown,episode,technical,result,signature_bake,show_stopper
Ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",1,11,IN,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
Ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",2,9,IN,Italian Grissini,Sweet and Savoury Yin Yang Bread
Ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",3,5,IN,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops
Ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",4,8,OUT,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha"
Alice,Fevronia,10,28,Geography teacher,Essex,1,5,IN,NA,NA
Alice,Fevronia,10,28,Geography teacher,Essex,2,1,STAR BAKER,NA,NA
Alice,Fevronia,10,28,Geography teacher,Essex,3,7,IN,NA,NA
Alice,Fevronia,10,28,Geography teacher,Essex,4,8,IN,NA,NA
Alice,Fevronia,10,28,Geography teacher,Essex,5,6,IN,NA,NA
Alice,Fevronia,10,28,Geography teacher,Essex,6,1,IN,NA,NA
Alice,Fevronia,10,28,Geography teacher,Essex,7,6,IN,NA,NA
Alice,Fevronia,10,28,Geography teacher,Essex,8,3,IN,NA,NA
Alice,Fevronia,10,28,Geography teacher,Essex,9,4,STAR BAKER,NA,NA
Alice,Fevronia,10,28,Geography teacher,Essex,10,2,Runner-up,NA,NA
Alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",1,2,IN,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau
Alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",2,6,IN,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps
Alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",3,4,IN,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia
Alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",4,9,IN,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes
Alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",5,8,IN,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
Alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",6,6,OUT,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
Amelia,LeBruin,10,24,Fashion designer,Halifax,1,4,IN,NA,NA
Amelia,LeBruin,10,24,Fashion designer,Halifax,2,9,IN,NA,NA
Amelia,LeBruin,10,24,Fashion designer,Halifax,3,11,OUT,NA,NA
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",1,12,IN,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake
